cat__channel_atm,cat__channel_mobile,cat__channel_unknown,cat__channel_web,cat__home_country_ca,cat__home_country_uk,cat__home_country_unknown,cat__home_country_us,cat__kyc_tier_enhanced,cat__kyc_tier_low,cat__kyc_tier_standard,cat__kyc_tier_unknown,cat__source_currency_CAD,cat__source_currency_GBP,cat__source_currency_USD,cat__dest_currency_CAD,cat__dest_currency_CNY,cat__dest_currency_EUR,cat__dest_currency_GBP,cat__dest_currency_INR,cat__dest_currency_MXN,cat__dest_currency_NGN,cat__dest_currency_PHP,cat__dest_currency_USD,cat__day_of_week_Friday,cat__day_of_week_Monday,cat__day_of_week_Saturday,cat__day_of_week_Sunday,cat__day_of_week_Thursday,cat__day_of_week_Tuesday,cat__day_of_week_Wednesday,cat__day_of_week_unknown,scale__amount_usd,scale__fee,scale__account_age_days,scale__amount_src,remainder__new_device,remainder__location_mismatch,remainder__ip_risk_score,remainder__device_trust_score,remainder__chargeback_history_count,remainder__risk_score_internal,remainder__txn_velocity_1h,remainder__txn_velocity_24h,remainder__corridor_risk,remainder__hour,remainder__is_weekend,label
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2602457878097567,-0.10988722423612804,1.179768073804235,-0.24288815590810137,False,False,0.45,0.607,0,0.282,0,0,0.0,3.0,0,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1267498736279062,-0.10579919155673663,1.818249921130585,-0.06013602389834788,True,False,0.353,0.717,0,0.245,0,0,0.0,1.0,0,0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2226076723121481,-0.10816805156900011,0.564824727761806,-0.1913541281376233,False,False,0.305,0.515,0,0.355,0,0,0.0,0.0,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.168453133019894,-0.10753835460371489,-0.4708693287307062,-0.1610298301536538,False,False,0.509,0.522,0,0.223,0,0,0.0,20.0,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.2551359303621018,-0.11014709917418226,-0.4708693287307062,-0.24884214319032902,False,False,0.1,0.522,0,0.223,0,0,0.0,3.0,1,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.11351683528641318,-0.10613902801419214,-0.4708693287307062,-0.10537768784214284,False,False,0.308,0.522,0,0.223,0,0,0.25,22.0,1,0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.13764474354063924,-0.10757833536341554,-1.2329283077976398,-0.16100103214987035,False,False,0.358,0.892,0,0.407,0,0,0.0,3.0,1,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.23965000633089156,-0.10886771486376148,-0.36788838561355297,-0.23315443062929636,False,True,0.548,0.336,0,0.166,0,0,0.0,16.0,1,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.10016297973127598,-0.10635892219254571,1.7505767299393127,-0.09184982556486869,False,False,0.137,0.934,0,0.087,0,0,0.0,14.0,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.2306029290974218,-0.10974729157717576,-0.8121775973475568,-0.2239894659252144,False,False,0.056,0.551,0,0.391,0,0,0.0,15.0,0,0
