home_country,source_currency,dest_currency,channel,amount_src,amount_usd,fee,new_device,location_mismatch,ip_risk_score,kyc_tier,account_age_days,device_trust_score,chargeback_history_count,risk_score_internal,txn_velocity_1h,txn_velocity_24h,corridor_risk,hour,day_of_week,is_weekend,is_fraud
ca,CAD,CAD,mobile,59.48,44.02,1.26,False,False,0.45,low,824,0.607,0,0.282,0,0,0.0,3.0,Friday,0,0
ca,CAD,MXN,web,313.32,231.86,5.35,True,False,0.353,standard,1041,0.717,0,0.245,0,0,0.0,1.0,Friday,0,0
ca,CAD,GBP,mobile,131.06,96.98,2.98,False,False,0.305,low,615,0.515,0,0.355,0,0,0.0,0.0,Thursday,0,0
us,USD,GBP,mobile,173.18,173.18,3.61,False,False,0.509,standard,263,0.522,0,0.223,0,0,0.0,20.0,Monday,0,0
us,USD,INR,mobile,51.21,51.21,1.0,False,False,0.1,standard,263,0.522,0,0.223,0,0,0.0,3.0,Sunday,1,0
us,USD,NGN,atm,250.48,250.48,5.01,False,False,0.308,standard,263,0.522,0,0.223,0,0,0.25,22.0,Sunday,1,0
uk,GBP,PHP,mobile,173.22,216.53,3.57,False,False,0.358,standard,4,0.892,0,0.407,0,0,0.0,3.0,Sunday,1,0
us,USD,EUR,web,73.0,73.0,2.28,False,True,0.548,standard,298,0.336,0,0.166,0,0,0.0,16.0,Saturday,1,0
us,USD,USD,mobile,269.27,269.27,4.79,False,False,0.137,standard,1018,0.934,0,0.087,0,0,0.0,14.0,Tuesday,0,0
us,USD,EUR,mobile,85.73,85.73,1.4,False,False,0.056,standard,147,0.551,0,0.391,0,0,0.0,15.0,Tuesday,0,0
us,USD,PHP,web,747.19,747.19,12.19,False,False,0.475,standard,263,0.522,0,0.223,0,0,0.1,1.0,Tuesday,0,0
us,USD,MXN,mobile,325.12,325.12,6.18,False,False,0.234,standard,1018,0.934,0,0.087,0,0,0.2,6.0,Thursday,0,0
ca,CAD,USD,mobile,106.72,78.98,2.66,True,False,0.131,standard,947,0.475,0,0.268,0,0,0.0,16.0,Sunday,1,0
us,USD,CNY,mobile,162.93,162.93,3.01,False,False,0.389,standard,147,0.551,0,0.391,0,0,0.0,14.0,Sunday,1,0
us,USD,MXN,mobile,90.32,90.32,2.58,False,False,0.196,standard,298,0.336,0,0.166,0,0,0.2,16.0,Friday,0,0
us,USD,CNY,mobile,75.77,75.77,2.51,False,False,0.265,standard,263,0.522,0,0.223,0,0,0.0,6.0,Monday,0,0
us,USD,USD,web,9997.78,9997.78,151.17,False,False,0.094,standard,147,0.551,0,0.391,0,0,0.0,8.0,Sunday,1,0
ca,CAD,CAD,web,393.68,291.32,6.88,False,False,0.415,standard,172,0.881,0,0.199,0,1,0.0,10.0,Sunday,1,0
uk,GBP,USD,mobile,45.44,56.8,1.88,False,False,0.483,standard,4,0.892,0,0.407,8,8,0.0,16.0,Sunday,1,0
uk,GBP,INR,mobile,109.76,137.2,2.5,False,False,0.403,standard,4,0.892,0,0.407,0,0,0.0,19.0,Friday,0,0
ca,CAD,GBP,web,260.09,192.47,4.96,False,False,0.128,standard,1041,0.867,0,0.245,0,0,0.0,1.0,Friday,0,0
uk,GBP,CAD,mobile,133.69,167.11,3.78,False,False,0.265,standard,718,0.953,0,0.169,0,1,0.0,21.0,Sunday,1,0
us,USD,NGN,web,89.77,89.77,1.93,False,False,0.457,enhanced,367,0.939,0,0.176,0,0,0.25,14.0,Thursday,0,0
us,USD,EUR,web,860.94,860.94,14.91,False,True,0.629,standard,1018,0.934,0,0.087,0,0,0.0,5.0,Wednesday,0,0
uk,GBP,CAD,mobile,665.31,831.64,10.51,False,False,0.355,standard,718,0.953,0,0.169,0,2,0.0,23.0,Monday,0,0
us,USD,EUR,web,86.12,86.12,2.44,False,False,0.22,standard,147,0.551,0,0.391,0,0,0.0,8.0,Monday,0,0
uk,GBP,NGN,mobile,91.96,114.95,2.48,False,True,0.405,standard,4,0.892,0,0.407,0,0,0.22,15.0,Tuesday,0,1
ca,CAD,MXN,mobile,267.15,197.69,4.04,False,False,0.239,standard,172,0.881,0,0.199,0,0,0.0,17.0,Saturday,1,0
ca,CAD,GBP,web,164.12,121.45,2.71,True,False,0.252,standard,1041,0.717,0,0.245,0,0,0.0,9.0,Monday,0,0
us,USD,PHP,web,53.04,53.04,1.99,False,False,0.06,standard,1018,0.934,0,0.087,0,0,0.1,12.0,Wednesday,0,0
ca,CAD,PHP,mobile,75.84,56.13,2.31,False,False,0.193,standard,1041,0.867,0,0.245,0,0,0.0,6.0,Thursday,0,0
us,USD,EUR,web,1904.09,1904.09,30.79,False,False,0.216,enhanced,367,0.939,0,0.176,0,0,0.0,5.0,Saturday,1,0
ca,CAD,PHP,mobile,383.78,284.0,6.82,False,False,0.252,low,824,0.607,0,0.282,0,0,0.0,5.0,Thursday,0,0
us,USD,CAD,mobile,153.39,153.39,3.77,False,False,0.561,low,616,0.702,0,0.361,0,0,0.0,5.0,Monday,0,0
us,USD,USD,web,46.24,46.24,1.28,False,False,0.215,standard,263,0.522,0,0.223,0,0,0.0,17.0,Tuesday,0,0
us,USD,EUR,web,124.82,124.82,3.3,False,False,0.131,standard,263,0.522,0,0.223,0,0,0.0,18.0,Friday,0,0
us,USD,NGN,mobile,109.91,109.91,1.96,False,False,0.157,standard,1018,0.934,0,0.087,0,0,0.25,2.0,Monday,0,0
us,USD,USD,web,458.86,458.86,7.51,False,False,0.419,standard,263,0.522,0,0.223,0,0,0.0,22.0,Thursday,0,0
uk,GBP,PHP,mobile,117.14,146.42,-1.0,False,True,1.2,standard,4,-0.1,0,0.407,-1,0,0.0,15.0,Monday,0,0
us,USD,USD,mobile,48.43,48.43,1.65,False,False,0.453,low,415,0.568,0,0.304,0,0,0.0,7.0,Wednesday,0,0
us,USD,CNY,web,608.01,608.01,9.35,False,False,0.333,standard,263,0.522,0,0.223,0,0,0.0,19.0,Thursday,0,0
uk,GBP,INR,web,72.32,90.4,2.29,False,False,0.774,standard,4,0.892,0,0.407,3,3,0.0,9.0,Tuesday,0,0
us,USD,EUR,mobile,154.75,154.75,4.13,False,False,0.162,enhanced,367,0.939,0,0.176,0,0,0.0,14.0,Friday,0,0
us,USD,GBP,mobile,80.73,80.73,1.42,False,False,0.106,standard,298,0.336,0,0.166,5,5,0.0,19.0,Saturday,1,0
us,USD,USD,mobile,965.63,965.63,14.59,False,False,0.204,standard,263,0.522,0,0.223,0,0,0.0,5.0,Tuesday,0,0
uk,GBP,USD,mobile,175.5,219.38,3.86,False,False,0.128,standard,718,0.953,0,0.169,0,0,0.0,17.0,Friday,0,0
ca,CAD,GBP,mobile,191.08,141.4,4.3,False,False,0.325,standard,947,0.625,0,0.268,0,0,0.0,0.0,Friday,0,0
us,USD,CAD,atm,104.32,104.32,3.4,False,False,0.257,standard,1018,0.934,0,0.087,0,1,0.0,10.0,Sunday,1,0
us,USD,INR,mobile,148.74,148.74,2.65,False,False,0.197,standard,263,0.522,0,0.223,0,0,0.0,18.0,Sunday,1,0
uk,GBP,CAD,mobile,101.24,126.55,3.69,False,False,0.141,standard,4,0.892,0,0.407,0,0,0.0,15.0,Saturday,1,0
us,USD,GBP,web,215.11,215.11,4.19,False,False,0.232,standard,147,0.551,0,0.391,0,0,0.0,17.0,Sunday,1,0
us,USD,EUR,mobile,252.79,252.79,4.23,False,False,0.176,enhanced,367,0.939,0,0.176,0,0,0.0,11.0,Wednesday,0,0
us,USD,USD,web,16.88,16.88,0.57,False,True,0.401,standard,147,0.551,0,0.391,0,0,0.0,1.0,Friday,0,0
ca,CAD,EUR,mobile,232.98,172.41,4.2,False,False,0.484,low,824,0.607,0,0.282,0,0,0.0,23.0,Thursday,0,0
us,USD,MXN,mobile,90.91,90.91,2.11,True,False,0.105,standard,298,0.186,0,0.166,0,0,0.2,9.0,Thursday,0,0
us,USD,PHP,atm,254.03,254.03,4.86,False,False,0.191,standard,298,0.336,0,0.166,0,0,0.1,20.0,Friday,0,0
us,USD,GBP,mobile,95.98,95.98,1.64,False,False,0.055,enhanced,367,0.939,0,0.176,0,0,0.0,0.0,Thursday,0,0
uk,GBP,PHP,atm,199.69,249.62,3.28,False,False,0.18,standard,4,0.892,0,0.407,0,0,0.0,13.0,Tuesday,0,0
us,USD,NGN,mobile,249.88,249.88,4.58,False,True,0.393,standard,263,0.522,0,0.223,0,0,0.25,18.0,Monday,0,0
us,USD,EUR,web,124.14,124.14,2.84,False,False,0.24,standard,1018,0.934,0,0.087,0,0,0.0,17.0,Sunday,1,0
ca,CAD,GBP,mobile,129.78,96.04,2.97,False,False,0.121,low,615,0.515,0,0.355,7,7,0.0,8.0,Friday,0,0
us,USD,USD,mobile,81.86,81.86,1.81,False,False,0.196,standard,147,0.551,0,0.391,0,0,0.0,12.0,Friday,0,0
uk,GBP,CNY,mobile,64.08,80.1,2.97,False,False,0.466,standard,4,0.892,0,0.407,0,1,0.0,14.0,Sunday,1,0
us,USD,CNY,web,314.31,314.31,5.49,False,True,0.265,standard,298,0.336,0,0.166,0,0,0.0,11.0,Monday,0,0
us,USD,INR,mobile,599.6,599.6,9.44,False,False,0.348,enhanced,367,0.939,0,0.176,1,1,0.0,7.0,Friday,0,0
